strassenschlüssel,strassenname,stadtteilschlüssel,stadtteilname,stadtviertelschlüssel,stadtviertelname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
4496,Erikaweg,808,Rath/Heumar,80804.0,Siedlung Röttgen,51107,,,0002,0010
883,Erkelenzer Str.,304,Braunsfeld,30401.0,Braunsfeld,50933,0001,0023,0002,0012
4497,Erkelenzhofweg,307,Weiden,30703.0,Üsdorf,50859,0001,0019,0002,0028
4498,Erkerstr.,703,Ensen,70302.0,Ensen-Ost,51149,0001,0055,0002,0052
884,Erkesstr.,506,Longerich,50602.0,Neu-Longerich,50737,0001,0067,0002,0052
885,Erlanger Str.,804,Höhenberg,80403.0,Höhenberg,51103,0001,0005,0002,0028
4499,Erlengrund,206,Rondorf,20602.0,Hochkirchen,50997,0001,0029,0002,0038
886,Erlenhofstr.,504,Niehl,50402.0,Niehl-Süd,50735,0001,0009,0002,0030
887,Erlenweg,403,Bickendorf,40304.0,Garten-Siedlung,50827,0001,0089,0002,0064
4500,Erlenweg (Auweiler),607,Esch/Auweiler,60702.0,Auweiler,50765,0001,0007,0002,0010
4501,Erlenweg (Grengel),709,Grengel,70904.0,Neu-Grengel,51147,0001,0021,0002,0024
888,Erlöserkirchstr.,808,Rath/Heumar,80802.0,Rath,51107,0009,0011,0002,0024
3998,Erna-Scheffler-Str.,802,Kalk,80202.0,GE Kalk,51103,0001,0001b,,
889,Ernastr.,905,Dellbrück,90501.0,Dellbrück,51069,0001,0047,0002,0046
3801,Ernst-Abbe-Str.,601,Merkenich, , ,50769,,,,
3670,Ernstbergstr.,610,Blumenberg,61001.0,Siedlung Blumenberg,50765,0095,0145,0002,0012
3757,Ernst-Cassel-Str.,904,Holweide,90401.0,Holweide-West,51067,0001,0029,,
3968,Ernst-Flatow-Str.,401,Ehrenfeld,40104.0,Vogelsanger Str.,50823,0003,0025,0004,0026
5885,Ernst-Mach-Str.,712,Lind,71203.0,Kaserne Lind,51147,,,,
5844,Ernst-Mühlendyck-Str.,706,Porz,70601.0,Porz-Mitte,51143,0001,0013,0002,0018
4504,Ernst-Reimbold-Str.,208,Rodenkirchen,20805.0,Rodenkirchen,50996,0001,0005,0004,0010
890,Ernst-Reuter-Str.,809,Neubrück,80901.0,Bungalow-Siedlung,51109,,,0002,0028
891,Ernststr.,904,Holweide,90402.0,Holweide-Ost,51067,0009,0019,0012,0026
4505,Ernst-Volland-Str.,210,Sürth,21003.0,Sürth-Nord,50999,,,0006,0008
892,Ernst-Weyden-Str.,701,Poll,70105.0,GE Poll,51105,0001,0017,0002,0010
3634,Ernst-Wilhelm-Nay-Str.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0001,0019,0006,0042
3948,Ernst-Wolff-Str.,612,Worringen,61204.0,Neu-Worringen,50769,0001,0023,0002,0032
893,Erpeler Str.,302,Sülz,30201.0,Weißhaus-Viertel,50939,0027,0055,0014,0036
894,Erzbergerplatz,501,Nippes,50102.0,Nippes,50733,0001,0017,0002,0024
895,Eschenallee,305,Müngersdorf,30501.0,Alt-Müngersdorf,50933,0001,0003,0002,0002a
896,Eschenbachstr.,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0001,0041,0002,0060
897,Eschenbruchstr.,905,Dellbrück,90501.0,Dellbrück,51069,0001,0019,0006,0020
4506,Eschenweg (Junkersdorf),306,Junkersdorf,30602.0,Stadtwaldsiedlung,50858,0001,0033,0002,0022
4507,Eschenweg (Sürth),210,Sürth,21001.0,Sürth,50999,0003,0019,0002,0016
898,Escher Str.,501,Nippes,50101.0,Sechzig-Viertel,50733,0011,0047,0020,0066
898,Escher Str.,507,Bilderstöckchen,50705.0,GE Schlachthof-Nord,50739,0063,0177,0088,0144
898,Escher Str.,507,Bilderstöckchen,50703.0,Parkgürtel-Süd,50739,,,0146,0160
898,Escher Str.,507,Bilderstöckchen,50702.0,Parkgürtel-Nord,50739,0217,0269,0170,0268
898,Escher Str.,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0271,0273,0270,0304
898,Escher Str.,507,Bilderstöckchen, , ,50739,,,0350,0350
4510,Escher Str. (Pesch),606,Pesch,60601.0,Pesch,50767,0001,0039,0002,0054
899,Eschkampsgrund,803,Vingst,80302.0,Siedlung Vingst,51107,0001,0003,0002,0012
5909,Esch-sur-Alzette-Str.,309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0001,0009,0002,0018
900,Eschweilerstr.,304,Braunsfeld,30401.0,Braunsfeld,50933,0001,0033,0002,0046
901,Esenbeckstr.,503,Riehl,50301.0,Riehl,50735,0001,0015,0002,0014
902,Espenweg,604,Heimersdorf,60403.0,Baum-Siedlung,50767,0001,0027,,
4512,Essener Str.,705,Eil,70501.0,Eil-Süd,51145,0001,0027,0002,0028
903,Esserstr.,801,Humboldt/Gremberg,80101.0,Humboldt,51105,0001,0079,0002,0054
4514,Etruskerstr.,208,Rodenkirchen,20806.0,Schillingsrott,50996,0003,0013,0004,0028
904,Ettlinger Str.,805,Ostheim,80502.0,Ostheim-Süd,51107,0001,0019,0002,0014
5903,Ettore-Bugatti-Str.,704,Gremberghoven,70403.0,Airport-Businesspark,51149,0001,0051,0002,0018
905,Etzelstr.,502,Mauenheim,50201.0,Nibelungen-Siedlung,50739,,,0096,0214
905,Etzelstr.,506,Longerich, , ,50739,0221,0221,,
905,Etzelstr.,505,Weidenpesch,50503.0,Siedlung Heckpfad,50739,0231,0233,0220,0250
905,Etzelstr.,505,Weidenpesch, , ,50739,,,0358,0366
4513,Etzelstr. (Wahnheide),710,Wahnheide,71001.0,Wahnheide,51147,0001,0007,0002,0008
906,Eudenbacher Weg,604,Heimersdorf,60402.0,Heimersdorf,50767,0001,0011,0002,0010
907,Eugen-Langen-Str.,202,Marienburg,20201.0,Marienburg,50968,0001,0037,0002,0028
5749,Eugen-Roth-Str.,606,Pesch,60601.0,Pesch,50767,0001,0061,0002,0046
3565,Eugen-Sänger-Str.,506,Longerich,50605.0,Lützlongerich,50739,0003,0007,0002,0032
908,Eulenbergstr.,901,Mülheim,90102.0,Mülheimer Stadtgarten,51065,0001,0041,0002,0052
909,Eulerstr.,902,Buchforst,90203.0,Siedlung Weiße Stadt,51065,0001,0011,0002,0014
910,Eumeniusstr.,105,Deutz,10502.0,Germanen-Viertel,50679,0001,0021,0004,0004
911,Eupener Str.,304,Braunsfeld,30401.0,Braunsfeld,50933,0001,0059,0004,0092
911,Eupener Str.,304,Braunsfeld,30403.0,GE Eupener Str.,50933,0111,0165,0100,0172
4515,Eupener Str. (Porz),716,Finkenberg,71601.0,Siedlung Finkenberg,51149,0001,0033,,
912,Europaring,809,Neubrück,80902.0,Neubrück,51109,0001,0061,0142,0162
912,Europaring,809,Neubrück,80901.0,Bungalow-Siedlung,51109,,,0002,0140e
913,Euskirchener Str.,302,Sülz,30202.0,Sülz,50937,0001,0009,0002,0036
913,Euskirchener Str.,302,Sülz,30202.0,Sülz,50935,0013,0023,,
913,Euskirchener Str.,302,Sülz,30204.0,Kriel,50935,,,0050,0072
4516,Euskirchener Str. (Immendorf),212,Immendorf,21203.0,Vogelsacker,50997,0011,0065,0002,0046
6002,Eva-Hesse-Str.,308,Lövenich,30805.0,Siedlung Haus Közal,50859,0001,0031,0004,0048
4517,Evastr.,703,Ensen,70301.0,Ensen,51149,0001,0029,0002,0030
914,Evergerstr.,909,Flittard,90901.0,Flittard,51061,0001,0033,0002,0030
3973,Everhard-Dolff-Weg,608,Volkhoven/Weiler,60802.0,Weiler,50765,,,,
5637,Everhard-Stolz-Str.,213,Meschenich,21303.0,Neu-Meschenich,50997,0001,0021,0002,0026
915,Everhardstr.,401,Ehrenfeld,40103.0,Ehrenfeld,50823,0043,0079,0050,0060
4518,Evezastr.,714,Zündorf,71401.0,Zündorf,51143,0001,0039,0002,0030b
916,Evinghover Weg,612,Worringen,61201.0,Alt-Worringen,50769,0001,0015,0004,0016
917,Ewaldistr.,104,Neustadt/Nord,10403.0,Agnes-Viertel,50670,0001,0023,0004,0030
4519,Eygelshovener Str.,208,Rodenkirchen, , ,50999,0011,0015,0002,0012
918,Eythstr.,802,Kalk,80201.0,Kalk,51103,0003,0021,0002,0018
918,Eythstr.,802,Kalk,80204.0,Kalk-Nord,51103,0023,0151,0020,0086
919,Fabriciusstr.,902,Buchforst,90203.0,Siedlung Weiße Stadt,51065,0001,0007,0002,0018
920,Fährgasse,601,Merkenich,60103.0,Merkenich,50769,0005,0025a,0002,0012
922,Falckensteinstr.,802,Kalk,80204.0,Kalk-Nord,51103,0001,0019,0002,0046
4520,Falderstr.,210,Sürth,21001.0,Sürth,50999,0003,0039,0002,0042
923,Falkenburgstr.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0001,0035,0012,0046
924,Falkenweg,404,Vogelsang,40402.0,Siedlung Vogelsang,50829,0001,0047,0002,0052
4523,Falkenweg (Hochkirchen),206,Rondorf,20602.0,Hochkirchen,50997,0001,0001,0002,0054
4522,Falkenweg (Junkersdorf),306,Junkersdorf,30601.0,Junkersdorf,50858,0003,0015,0002,0012
6040,Fallgatterweg,711,Wahn, , ,51147,,,0002,0016
921,Färbergasse,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,,,,
925,Farnweg,905,Dellbrück,90503.0,Blumen-Siedlung,51069,0001,0015,0002,0012
4525,Farnweg (Heumar),808,Rath/Heumar,80804.0,Siedlung Röttgen,51107,0003,0011,0002,0008
926,Fasanenweg,807,Brück,80705.0,Waldtier-Siedlung,51109,0001,0015,0002,0022
4527,Fasanenweg (Hahnwald),207,Hahnwald,20703.0,Alt-Hahnwald,50996,0011,0015,0002,0018
4526,Fasanenweg (Wahn),711,Wahn,71101.0,Wahn,51147,0001,0017,0002,0016
927,Faßbenderkaul,204,Raderthal,20401.0,Volkspark-Siedlung,50968,0001,0015,0002,0026
3661,Faßbindergasse,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,,,,
4529,Fauststr.,707,Urbach,70701.0,Urbach,51145,0011,0045,0002,0098
928,Fehrbellinstr.,505,Weidenpesch,50501.0,Rennbahn-Viertel,50737,0001,0023,0002,0022
929,Fehrenbachstr.,904,Holweide,90401.0,Holweide-West,51067,0001,0035,0002,0034
930,Feiengasse,612,Worringen,61201.0,Alt-Worringen,50769,0001,0013,,
931,Feldbergstr.,801,Humboldt/Gremberg,80101.0,Humboldt,51105,0001,0029,0002,0022
932,Feldblumenweg,602,Fühlingen,60201.0,Fühlingen,50769,0003,0043,0002,0024
4530,Feldblumenweg (Grengel),709,Grengel,70904.0,Neu-Grengel,51147,0001,0011,0002,0010
4531,Feldblumenweg (Junkersdorf),306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0027,0002,0038
933,Feldgärtenstr.,504,Niehl,50404.0,Niehl,50735,0051,0169,0030,0156
6053,Feldhamsterstr.,208,Rodenkirchen, , ,50999,0001,0079,0002,0040
935,Feldkasseler Weg,601,Merkenich,60106.0,GE Feldkassel,50769,0005,0005,0004,0026
935,Feldkasseler Weg,601,Merkenich,60101.0,Rheinkassel,50769,0097,0171,0088,0200
936,Feldstr.,802,Kalk,80201.0,Kalk,51103,0001,0005,0002,0004
4532,Feldstr. (Wahn),711,Wahn,71101.0,Wahn,51147,0001,0013,0002,0008
3776,Fellmühlenweg,905,Dellbrück,90507.0,Dellbrück-Süd,51069,0001,0007,0002,0022
938,Feltenstr.,403,Bickendorf,40303.0,Siedlung Bickendorf,50827,0003,0133,0002,0130
3852,Fenchelweg,806,Merheim,80602.0,Siedlung Madaus,51109,0001,0019,,
3786,Ferdinand-Königshofen-Str.,601,Merkenich,60103.0,Merkenich,50769,0001,0031,0002,0012
4533,Ferdinand-Porsche-Str.,705,Eil,70503.0,GE Eil,51149,0001,0023,0002,0024
940,Ferdinand-Schmitz-Str.,205,Zollstock,20504.0,Zollstock,50969,0001,0005,0002,0012
941,Ferdinandstr.,901,Mülheim,90101.0,Stegerwald-Siedlung,51063,0001,0043,0002,0018
942,Ferdinand-Stücker-Str.,904,Holweide,90404.0,Schweinheim,51067,0011,0053,0014,0056
943,Ferrenbergstr.,901,Mülheim,90103.0,Mülheim,51063,,,0002,0016
944,Fettenweg,405,Bocklemünd/Mengenich,40501.0,Alt-Bocklemünd,50829,,,0002,0002
945,Feuerbachstr.,305,Müngersdorf,30504.0,Neu-Müngersdorf,50933,0001,0031,,
946,Feuerstr.,505,Weidenpesch,50502.0,Weidenpesch,50735,0001,0019,0002,0024
4534,Fichtenstr.,306,Junkersdorf,30602.0,Stadtwaldsiedlung,50858,0007,0017,0028,0028
947,Fichtenweg,604,Heimersdorf,60403.0,Baum-Siedlung,50767,0001,0019,0002,0008
4536,Fichtestr. (Rodenkirchen),208,Rodenkirchen,20804.0,Auenviertel,50996,0001,0007,0002,0014
949,Filzengraben,101,Altstadt/Süd,10105.0,Georgs-Viertel,50676,0001,0043,0002,0034
950,Finkenplatz,504,Niehl,50402.0,Niehl-Süd,50735,0001,0009,0006,0020
951,Finkenstr.,504,Niehl,50402.0,Niehl-Süd,50735,0003,0003,0002,0002
4537,Finkenstr. (Junkersdorf),306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0017a,0002,0032
4538,Finkenweg (Esch),607,Esch/Auweiler,60701.0,Esch,50765,0003,0021,0002,0026
4539,Finkenweg (Wahnheide),710,Wahnheide,71001.0,Wahnheide,51147,0001,0055,0002,0036
952,Finnentroper Str.,806,Merheim,80604.0,Merheimer Heide,51109,0001,0007,0002,0006
953,Fischenicher Str.,205,Zollstock,20502.0,Siedlung Südfriedhof,50969,0001,0109,0002,0098
6033,Fischers Gässchen,702,Westhoven,70202.0,Westhoven ,51149,,,,
4542,Fischerweg,706,Porz,70601.0,Porz-Mitte,51143,,,,
954,Fischmarkt,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,0001,0009,,
3946,Fitzmauricestr.,406,Ossendorf,40603.0,Siedlung Butzweiler Hof,50829,0007,0031,0010,0010
955,Fixheider Weg,906,Höhenhaus,90607.0,Berliner Straße,51061,0007a,0027,0006,0034
3592,Flachsweg,305,Müngersdorf,30503.0,Siedlung Egelspfad,50933,0001,0019,0002,0018
956,Flamingoweg,404,Vogelsang,40402.0,Siedlung Vogelsang,50829,0003,0005,0002,0014
957,Flammersfelder Str.,801,Humboldt/Gremberg,80101.0,Humboldt,51105,0001,0009,0002,0004
958,Flandrische Str.,104,Neustadt/Nord,10401.0,Belgisches Viertel,50674,0001,0019,0002,0018
960,Flehbachstr.,807,Brück,80701.0,Brück,51109,,,0004,0068
961,Fleischmengergasse,101,Altstadt/Süd,10103.0,Cäcilien-Viertel,50676,0001,0059,0002,0020
962,Flemingstr.,504,Niehl,50410.0,Boltensternstraße,50735,0001,0009,0002,0036
963,Flensburger Str.,901,Mülheim,90102.0,Mülheimer Stadtgarten,51065,,,0002,0002
4544,Fliederweg (Pesch),606,Pesch,60601.0,Pesch,50767,,,0002,0018
4546,Fliederweg (Widdersdorf),309,Widdersdorf,30901.0,Neu-Widdersdorf,50859,0001,0079,0002,0140
4545,Fliederweg (Zündorf),714,Zündorf,71403.0,Zündorf-Nord,51143,0081,0133,0098,0110
4547,Fliegerhorst,710,Wahnheide,71002.0,Kaserne Wahnheide,51147,,,0000,
964,Fliesteder Str.,405,Bocklemünd/Mengenich,40501.0,Alt-Bocklemünd,50829,0001,0021,0002,0012a
965,Flittarder Deichweg,909,Flittard,90901.0,Flittard,51061,0005b,0005b,0002a,0040
966,Flittarder Hauptstr.,909,Flittard,90901.0,Flittard,51061,0003,0125,0002,0104
967,Flittarder Weg,504,Niehl,50404.0,Niehl,50735,0011,0029,0016,0032
969,Florastr.,501,Nippes,50102.0,Nippes,50733,0001,0075a,0002,0078
969,Florastr.,501,Nippes,50104.0,Siedlung Florastr.,50733,0077,0143,0088,0208
3763,Florentine-Eichler-Str.,904,Holweide,90405.0,Iddelsfeld,51067,0001,0001,,
3763,Florentine-Eichler-Str.,904,Holweide,90409.0,Ober-Iddelsfeld,51067,,,0002,0058
3488,Florenzer Str.,609,Chorweiler,60901.0,Chorweiler,50765,,,0002,0084
970,Floriansgasse,505,Weidenpesch,50502.0,Weidenpesch,50737,0007b,0053,0002,0008
971,Flotowstr.,303,Lindenthal,30301.0,Alt-Lindenthal,50931,0001,0001b,0002,0008
972,Flügelstr.,901,Mülheim,90103.0,Mülheim,51063,,,0002,0002
4548,Flughafen,709,Grengel,70902.0,Flughafen,51147,,,0000,
5940,Flughafenstr.,710,Wahnheide,71002.0,Kaserne Wahnheide,51147,0001,0001,,
973,Fockerweg,808,Rath/Heumar,80802.0,Rath,51107,0001,0009,0002,0006
974,Föhrenweg,604,Heimersdorf,60403.0,Baum-Siedlung,50767,0001,0007,0002,0008
976,Follerstr.,101,Altstadt/Süd,10105.0,Georgs-Viertel,50676,0075,0105,0002,0100a
977,Folwiese,905,Dellbrück,90506.0,Siedlung Mielenforst,51069,0001,0083,0004,0068
978,Fontanestr.,104,Neustadt/Nord,10403.0,Agnes-Viertel,50670,0001,0011,0002,0010
4551,Fontanestr. (Immendorf),212,Immendorf,21201.0,Immendorf,50997,0003,0019,0008,0020
4550,Fontanestr. (Junkersdorf),307,Weiden,30702.0,Neu-Weiden,50858,0001,0007,0002,0018
979,Formesstr.,901,Mülheim,90103.0,Mülheim,51063,0003,0059,0002,0070
980,Forsbacher Str.,808,Rath/Heumar,80801.0,Göttersiedlung,51107,0001,0029,,
4552,Forsbachstr.,707,Urbach,70701.0,Urbach,51145,0001,0047,0002,0022
975,Försterstr.,402,Neuehrenfeld,40202.0,Neuehrenfeld,50823,0001,0023,0002,0026
975,Försterstr.,402,Neuehrenfeld,40202.0,Neuehrenfeld,50825,0025,0053,0030,0054
981,Forststr.,604,Heimersdorf,60403.0,Baum-Siedlung,50767,0001,0107,0002,0134
4553,Forststr. (Heumar),808,Rath/Heumar,80803.0,Heumar,51107,0001,0055,0002,0040
4553,Forststr. (Heumar),808,Rath/Heumar,80804.0,Siedlung Röttgen,51107,0059,0141,0042,0126
982,Forsythienweg,603,Seeberg,60304.0,Seeberg-Mitte,50769,0001,0041,0002,0058
983,Fort IV,405,Bocklemünd/Mengenich, , ,50829,,,,
984,Fort Rauch,105,Deutz,10503.0,Hafen-Viertel,50679,,,0006,0010
985,Fort VI,303,Lindenthal, , ,50935,,,0000,
986,Fort VII,205,Zollstock, , ,50969,,,0000,
987,Fort XI a,903,Buchheim,90303.0,Kleinherl,51067,,,,
988,Fort XII,908,Stammheim,90801.0,Siedlung Stammheim-Nord,51061,,,,
3571,Fortuinweg,611,Roggendorf/Thenhoven,61101.0,Roggendorf,50769,0001,0019,0002,0020
989,Frangenheimstr.,303,Lindenthal,30301.0,Alt-Lindenthal,50931,0001,0027,,
989,Frangenheimstr.,303,Lindenthal,30306.0,Melaten,50931,,,0004,0006
3984,Frankenforster Str.,906,Höhenhaus,90603.0,Höhenhaus,51061,,,,
4554,Frankenplatz (Gremberghoven),704,Gremberghoven,70401.0,Gremberghoven,51149,0001,0015,0002,0026
4555,Frankenstr. (Gremberghoven),704,Gremberghoven,70401.0,Gremberghoven,51149,0007,0023,0002,0018
4556,Frankenstr. (Junkersdorf),306,Junkersdorf,30601.0,Junkersdorf,50858,0001,0083,0002,0082
4557,Frankenstr. (Meschenich),213,Meschenich,21301.0,Alt-Meschenich,50997,0001,0073,0002,0094
991,Frankenthaler Str.,507,Bilderstöckchen,50701.0,Bilderstöckchen,50739,0001,0017,0002,0018
992,Frankenwerft,103,Altstadt/Nord,10306.0,Martins-Viertel,50667,0001,0035,,
992,Frankenwerft,103,Altstadt/Nord, , ,50667,0045,0045,,
993,Frankfurter Str.,901,Mülheim,90102.0,Mülheimer Stadtgarten,51065,0001,0087,0012,0088c
993,Frankfurter Str.,903,Buchheim, , ,51065,0087a,0087a,,
993,Frankfurter Str.,903,Buchheim,90302.0,Buchheim,51065,0089,0129,0090,0120
993,Frankfurter Str.,903,Buchheim,90304.0,GE Germaniastr.,51065,,,0124,0236
993,Frankfurter Str.,903,Buchheim,90301.0,Siedlung Buchheim,51065,0135,0173,,
993,Frankfurter Str.,804,Höhenberg, , ,51103,0249,0399,,
993,Frankfurter Str.,804,Höhenberg,80401.0,Germania-Siedlung,51103,,,0270,0410
993,Frankfurter Str.,804,Höhenberg,80403.0,Höhenberg,51103,0437,0455,0420,0448
993,Frankfurter Str.,805,Ostheim,80503.0,Siedlung Gernsheimerstr.,51107,,,0572,0708a
993,Frankfurter Str.,805,Ostheim,80501.0,Ostheim-Nord,51107,0585,0725,,
993,Frankfurter Str.,805,Ostheim,80502.0,Ostheim-Süd,51107,0745,0855d,0710,0912
4564,Frankfurter Str. (Porz),712,Lind,71204.0,GE Portastr.,51147,0019,0019,0028,0070
4564,Frankfurter Str. (Porz),711,Wahn,71101.0,Wahn,51147,0077,0323,0076,0316
4564,Frankfurter Str. (Porz),711,Wahn, , ,51147,,,0320,0320
4564,Frankfurter Str. (Porz),708,Elsdorf,70801.0,Elsdorf,51145,0381,0405,0380,0450
4564,Frankfurter Str. (Porz),707,Urbach,70701.0,Urbach,51145,0467,0533,0462,0540h
4564,Frankfurter Str. (Porz),705,Eil,70501.0,Eil-Süd,51145,0541,0561,,
4564,Frankfurter Str. (Porz),705,Eil,70502.0,Eil,51145,0565,0659,0574,0714
4564,Frankfurter Str. (Porz),705,Eil,70503.0,GE Eil,51145,0661,0675,0716,0720
4564,Frankfurter Str. (Porz),705,Eil,70503.0,GE Eil,51149,0723,0725,0772,0776
4564,Frankfurter Str. (Porz),704,Gremberghoven,70403.0,Airport-Businesspark,51149,0751,0759,,
4564,Frankfurter Str. (Porz),704,Gremberghoven,70402.0,GE Gremberghoven,51149,,,0778,0778
994,Franklinstr.,802,Kalk,80201.0,Kalk,51103,,,0004,0016
995,Frankstr.,101,Altstadt/Süd,10102.0,Mauritius-Viertel,50676,0001,0029,0024,0030
4559,Frankstr. (Rodenkirchen),208,Rodenkirchen,20805.0,Rodenkirchen,50996,0001,0023,0004,0022
4559,Frankstr. (Rodenkirchen),208,Rodenkirchen,20806.0,Schillingsrott,50996,0025,0053,0026,0032
5956,Franz-Braßart-Str.,309,Widdersdorf,30902.0,Alt-Widdersdorf,50859,,,0002,0050
996,Franz-Clouth-Str.,501,Nippes,50104.0,Siedlung Florastr.,50733,0001,0009,,
4566,Franz-Decker-Str.,707,Urbach,70701.0,Urbach,51145,0001,0005,0002,0012
997,Franz-Denhoven-Str.,504,Niehl,50404.0,Niehl,50735,0001,0069,,
998,Franz-Geuer-Str.,401,Ehrenfeld,40103.0,Ehrenfeld,50823,0001,0017,0002,0010
3783,Franz-Greiß-Str.,504,Niehl,50405.0,GI Emdener Str.,50735,,,0002,0002
5817,Franz-Grillparzer-Ring,606,Pesch,60601.0,Pesch,50767,0001,0067,0002,0052
999,Franz-Hitze-Str.,104,Neustadt/Nord,10407.0,Colonius,50672,0001,0007,0008,0008
4567,Franz-Hitze-Str. (Porz),706,Porz,70603.0,Porz-Ost,51145,,,,
3804,Franziska-Anneke-Str.,406,Ossendorf,40601.0,Ossendorf,50827,0001,0071,0002,0014
1000,Franziskastr.,501,Nippes,50102.0,Nippes,50733,0001,0015,0006,0022
3878,Franz-Joseph-Tillmann-Weg,504,Niehl,50410.0,Boltensternstraße,50735,,,,
3823,Franz-Kremer-Allee,302,Sülz, , ,50937,0001,0001,,
1001,Franz-Kreuter-Str.,401,Ehrenfeld,40104.0,Vogelsanger Str.,50823,0001,0007,0002,0012
1002,Franz-Liszt-Str.,401,Ehrenfeld,40101.0,Ehrenfeld-West,50825,0001,0011,0002,0012
1003,Franz-Marc-Str.,301,Klettenberg,30101.0,Klettenberg,50939,0001,0021,0002,0042
4568,Franz-Marc-Str. (Rodenkirchen),208,Rodenkirchen,20802.0,Künstler-Viertel,50999,0003,0019,0002,0046
3949,Franz-Michel-Str.,612,Worringen,61204.0,Neu-Worringen,50769,0001,0033,,
1004,Franz-Peter-Kürten-Weg,907,Dünnwald,90702.0,Dünnwald,51069,0001,0027,0002,0016
3805,Franz-Raveaux-Str.,406,Ossendorf,40601.0,Ossendorf,50827,0001,0039,0002,0042
5812,Franz-Schaaf-Str.,714,Zündorf,71402.0,Zündorf-Süd,51143,0001,0025,0002,0066
1005,Franz-Seiwert-Str.,305,Müngersdorf,30504.0,Neu-Müngersdorf,50933,0001,0029,0002,0026
1006,Franz-Stock-Weg,809,Neubrück,80901.0,Bungalow-Siedlung,51109,0001,0025,,
1007,Franzstr.,303,Lindenthal,30301.0,Alt-Lindenthal,50931,0001,0033,0002,0026
1007,Franzstr.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0035,0081,0028,0072
3869,Franz-von-Rinecker-Str.,806,Merheim,80602.0,Siedlung Madaus,51109,0001,0001,0002,0002
1008,Franz-Werfel-Str.,904,Holweide,90402.0,Holweide-Ost,51067,0001,0039,0002,0034
1009,Frasengasse,909,Flittard,90901.0,Flittard,51061,,,0002,0006
1010,Fraunhoferstr.,902,Buchforst,90201.0,Buchforst,51065,0001,0011,,
1011,Frechener Platz,303,Lindenthal,30303.0,Neu-Lindenthal,50935,,,0002,0010
1012,Frechener Str.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0001,0013,0002,0004
4570,Frechener Weg,307,Weiden,30703.0,Üsdorf,50859,0001a,0091,0002,0072
1013,Fredeburger Str.,806,Merheim,80604.0,Merheimer Heide,51109,0001,0005,0002,0006
5888,Freesienweg,714,Zündorf,71403.0,Zündorf-Nord,51143,,,0002,0014
1014,Freiburger Str.,805,Ostheim,80502.0,Ostheim-Süd,51107,0001,0021,0002,0018
4571,Freiburger Str. (Weiden),307,Weiden,30702.0,Neu-Weiden,50859,0001,0023,,
4571,Freiburger Str. (Weiden),307,Weiden,30703.0,Üsdorf,50859,,,0002,0072
1015,Freie Erde,506,Longerich,50602.0,Neu-Longerich,50737,0001,0035,0002,0034
4572,Freiheit,713,Libur,71301.0,Libur,51147,0009,0019,0004,0024
1016,Freiherr-vom-Stein-Str.,501,Nippes,50102.0,Nippes,50733,0001,0009,0002,0008
1017,Freiligrathstr.,303,Lindenthal,30305.0,Deckstein,50935,,,0010,0060
1017,Freiligrathstr.,303,Lindenthal,30303.0,Neu-Lindenthal,50935,0015,0059,0004,0008
1018,Freimersdorfer Weg,405,Bocklemünd/Mengenich, , ,50829,0005,0005,0004,0004
1018,Freimersdorfer Weg,405,Bocklemünd/Mengenich,40503.0,GE Bocklemünd-Ost,50829,,,0006,0006
5985,Frettchenweg,308,Lövenich,30803.0,Lövenich-Ost,50859,,,,
1019,Freusburgweg,604,Heimersdorf,60402.0,Heimersdorf,50767,0025,0029,0002,0026
1020,Freyastr.,808,Rath/Heumar,80801.0,Göttersiedlung,51107,0001,0005,0002,0012
1021,Fridolinstr.,402,Neuehrenfeld,40202.0,Neuehrenfeld,50823,0011,0039,0002,0040
1021,Fridolinstr.,402,Neuehrenfeld,40202.0,Neuehrenfeld,50825,0041,0079,0042,0076
4575,Friedensstr.,709,Grengel,70901.0,Alt-Grengel,51147,0029,0043,0032,0048
4575,Friedensstr.,709,Grengel,70904.0,Neu-Grengel,51147,0051,0093,0050,0074
4575,Friedensstr.,707,Urbach,70701.0,Urbach,51145,,,0110,0120
4575,Friedensstr.,708,Elsdorf, , ,51145,,,,
1022,Friedenstr.,101,Altstadt/Süd,10104.0,Pantaleons-Viertel,50676,0011,0043,0002,0038
4573,Friedenstr. (Rodenkirchen),208,Rodenkirchen,20805.0,Rodenkirchen,50996,0001,0003,0002,0008
3873,Friederike-Nadig-Weg,807,Brück,80710.0,Oberer Bruch,51109,0003,0005,0002,0014
4925,Friedhofsweg,309,Widdersdorf,30902.0,Alt-Widdersdorf,50859,0001,0011,0002,0004
